id,Текст Сообщения,Тематика,Ответственное лицо,Категория
532,"<p>Здравствуйте! Село Рудавец Обоянского р-на уже третий день нет воды в столь жаркую погоду, с таким риском пожароопастости нам никто не дает разъяснений, когда ждать водоснабжения. Ждем вашей помощи. Спасибо!</p>",Некачественное водоснабжение в районе частного сектора,Администрация Обоянского района,3
985,"<p>Здравствуйте! Просим помочь решить проблемы - уже полгода течет ливневка в 1м подъезде на 1м этаже, а во 2м подъезде во время дождей вода попадает по интернет-проводам с крыши на лестничную клетку 9го этажа (провайдерам об этом сообщалось неоднократно). Обращаю внимание, что год назад в нашем МКД был начат капитальный ремонт крыши, который включал в том числе и замену ливневки. Специалисты подрядчика (по ремонту крыши) и управляющей компании друг на друга перекладывают ответственность. Считаем, что за полгода вопрос можно было закрыть при желании.</p>",Некачественный капитальный ремонт многоквартирного дома,Государственная жилищная инспекция Курской области,3
343,"<ul><li><span style=`color:hsl(0,0%,0%);`>Здравствуйте. Неоднократно писала в разные инстанции о парковке автомобилей на газонах между школой 54 и детскими садами 119 и 120. Там постоянно стоят автомобили и никакие штрафы им не помеха!!! Одни отписки, а “ а воз и ныне там”!!! Я живу с 1987 года и НИКОГДА НЕ ЕЗДИЛИ, ПОТОМУ ЧТО ЭТО ПЕШЕХОДНАЯ ЗОНА. Никогда не ставили знаки,т.к. априори там ходят люди!! Теперь газон превратили в грязь, дорога разбита. Тоже самое вдоль дома по пр-ду Сергеева 4.</span></li></ul>",Парковки на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
2238,"По нашей деревне Ванина, а именно на улице Садовая, активно расползается опасный сорняк – борщевик Сосновского. На фото видно, что творится в захваченных им территориях. Все растения, кроме агрессора, гибнут и вымирают. Вместо любимых природных мест для отдыха – пейзажи из фильма ужасов. Ядовитый сок борщевика вызывает ожоги на коже, может повредить глаза. Особенно страшно, когда такое случается с детьми. 
Просьба в кратчайшие сроки принять меры по его уничтожению.",Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Администрация Октябрьского района,3
356,"<p>Добрый день! Проблема в нашей УК ООО ЖИЛКОМПЛЕКС ДРУЖБА. Мы никак не можем заставить работать эту компанию. Они просто собирают деньги и все. Вот например сейчас, я живу в квартире 185,у нас уже 1,5 месяца нет горячей воды. С водой и ранее были проблемы, например, чтобы искупаться приходилось все время воду сливать, чтобы пошла тёплая вода. Именно тёплая,горячей мы и не видели. Жаловались конечно, оставляли заявки, но особо ничего не менялось и так во всем подъезде. Даже нижние этажи, воду сливают и она у них тёплая. И тоже жаловались, некоторые и Прокуротуру жаловались и в Жилинспекцию инспекцию, но ничего не менялось. И вот дошло до того, что слив уже не помогает - вода идёт холодная из горячего крана. Все эти 1,5 месяца, я оставляю заявки в наше УК. Во-первых, они приходят не сразу, а на 3-4 день, потому что у них один сантехник, на пять домов. Во-вторых, что-то быстро покрутят, вода горячая появляется ровно на сутки. Далее все по кругу. С 29 апреля наше УК вообще отключила телефон, дозвониться никто не может. Насколько я знаю Жкх работала с 4-7число,а наше - нет. Я звонила несколько раз в аварийную, они говорили, что директору сами позвонят и передадут заявку. Но вода у меня не появилась. Остальное тоже ничего не делается, пороки возле 8 подъезда - обсыпались, уже не один год подаём заявки и я, и соседи - не сделали. Почтовые ящики прошу поменять, тоже не один год, ничего. Ремонт в подъездах обещали сделать, не сделали. Ничего не красят, не белят, как в других домах, в подвале даже страшно представить, раз уже воды горячей нет, что творится. Уборщица к нам один раз в полгода приходит, она тоже одна. Единственное дворник, кот. хоть что-то делает и все. Так же жалуются и остальные четыре дома, кот. у них на балансе. Жалобы пишут везде, привлекали телевидение. Но все осталось, как и было. Прошу вас помочь в решении этой проблемы. И разобраться, имеет ли право на лицензию при одном сантехник, одной уборщица и бездействии и не желании работать, даже из-под палки данная УК. Мы конечно пытались уйти в другую, но не набирали определённое кол-во процентов, потому что многие в доме не живут. Да и нас хорошие компании брать не хотят, у нас много долгов и дом полуаварийный, хотя ему только 11 лет. Плюс агитациДобрый день! Проблема в нашей УК ООО ЖИЛКОМПЛЕКС ДРУЖБА. Мы никак не можем заставить работать эту компанию. Они просто собирают деньги и все. Вот например сейчас, я живу в квартире 185,у нас уже 1,5 месяца нет горячей воды. С водой и ранее были проблемы, например, чтобы искупаться приходилось все время воду сливать, чтобы пошла тёплая вода. Именно тёплая,горячей мы и не видели. Жаловались конечно, оставляли заявки, но особо ничего не менялось и так во всем подъезде. Даже нижние этажи, воду сливают и она у них тёплая. И тоже жаловались, некоторые и Прокуротуру жаловались и в Жилинспекцию инспекцию, но ничего не менялось. И вот дошло до того, что слив уже не помогает - вода идёт холодная из горячего крана. Все эти 1,5 месяца, я оставляю заявки в наше УК. Во-первых, они приходят не сразу, а на 3-4 день, потому что у них один сантехник, на пять домов. Во-вторых, что-то быстро покрутят, вода горячая появляется ровно на сутки. Далее все по кругу. С 29 апреля наше УК вообще отключила телефон, дозвониться никто не может. Насколько я знаю Жкх работала с 4-7число,а наше - нет. Я звонила несколько раз в аварийную, они говорили, что директору сами позвонят и передадут заявку. Но вода у меня не появилась. Остальное тоже ничего не делается, пороки возле 8 подъезда - обсыпались, уже не один год подаём заявки и я, и соседи - не сделали. Почтовые ящики прошу поменять, тоже не один год, ничего. Ремонт в подъездах обещали сделать, не сделали. Ничего не красят, не белят, как в других домах, в подвале даже страшно представить, раз уже воды горячей нет, что творится. Уборщица к нам один раз в полгода приходит, она тоже одна. Единственное дворник, кот. хоть что-то делает и все. Так же жалуются и остальные четыре дома, кот. у них на балансе. Жалобы пишут везде, привлекали телевидение. Но все осталось, как и было. Прошу вас помочь в решении этой проблемы. И разобраться, имеет ли право на лицензию при одном сантехник, одной уборщица и бездействии и не желании работать, даже из-под палки данная УК. Мы конечно пытались уйти в другую, но не набирали определённое кол-во процентов, потому что многие в доме не живут. Да и нас хорошие компании брать не хотят, у нас много долгов и дом полуаварийный, хотя ему только 11 лет. Плюс агитация начинается с нашей УК, деньги и все. Вот например сейчас, я живу в квартире 185,у нас уже 1,5 месяца нет горячей воды. С водой и ранее были проблемы, например, чтобы искупаться приходилось все время воду сливать, чтобы пошла тёплая вода. Именно тёплая,горячей мы и не видели. Жаловались конечно, оставляли заявки, но особо ничего не менялось и так во всем подъезде. Даже нижние этажи, воду сливают и она у них тёплая. И тоже жаловались, некоторые и Прокуротуру жаловались и в Жилинспекцию инспекцию, но ничего не менялось. И вот дошло до того, что слив уже не помогает - вода идёт холодная из горячего крана. Все эти 1,5 месяца, я оставляю заявки в наше УК. Во-первых, они приходят не сразу, а на 3-4 день, потому что у них один сантехник, на пять домов. Во-вторых, что-то быстро покрутят, вода горячая появляется ровно на сутки. Далее все по кругу. С 29 апреля наше УК вообще отключила телефон, дозвониться никто не может. Насколько я знаю Жкх работала с 4-7число,а наше - нет. Я звонила несколько раз в аварийную, они говорили, что директору сами позвонят и передадут заявку. Но вода у меня не появилась. Остальное тоже ничего не делается, пороки возле 8 подъезда - обсыпались, уже не один год подаём заявки и я, и соседи - не сделали. Почтовые ящики прошу поменять, тоже не один год, ничего. Ремонт в подъездах обещали сделать, не сделали. Ничего не красят, не белят, как в других домах, в подвале даже страшно представить, раз уже воды горячей нет, что творится. Уборщица к нам один раз в полгода приходит, она тоже одна. Единственное дворник, кот. хоть что-то делает и все. Так же жалуются и остальные четыре дома, кот. у них на балансе. Жалобы пишут везде, привлекали телевидение. Но все осталось, как и было. Прошу вас помочь в решении этой проблемы. И разобраться, имеет ли право на лицензию при одном сантехник, одной уборщица и бездействии и не желании работать, даже из-под палки данная УК. Мы конечно пытались уйти в другую, но не набирали определённое кол-во процентов, потому что многие в доме не живут. Да и нас хорошие компании брать не хотят, у нас много долгов и дом полуаварийный, хотя ему только 11 лет. Плюс агитациДобрый день! Проблема в нашей УК ООО ЖИЛКОМПЛЕКС ДРУЖБА. Мы никак не можем заставить работать эту компанию. Они просто собирают деньги и все. Вот например сейчас, я живу в квартире 185,у нас уже 1,5 месяца нет горячей воды. С водой и ранее были проблемы, например, чтобы искупаться приходилось все время воду сливать, чтобы пошла тёплая вода. Именно тёплая,горячей мы и не видели. Жаловались конечно, оставляли заявки, но особо ничего не менялось и так во всем подъезде. Даже нижние этажи, воду сливают и она у них тёплая. И тоже жаловались, некоторые и Прокуротуру жаловались и в Жилинспекцию инспекцию, но ничего не менялось. И вот дошло до того, что слив уже не помогает - вода идёт холодная из горячего крана. Все эти 1,5 месяца, я оставляю заявки в наше УК. Во-первых, они приходят не сразу, а на 3-4 день, потому что у них один сантехник, на пять домов. Во-вторых, что-то быстро покрутят, вода горячая появляется ровно на сутки. Далее все по кругу. С 29 апреля наше УК вообще отключила телефон, дозвониться никто не может. Насколько я знаю Жкх работала с 4-7число,а наше - нет. Я звонила несколько раз в аварийную, они говорили, что директору сами позвонят и передадут заявку. Но вода у меня не появилась. Остальное тоже ничего не делается, пороки возле 8 подъезда - обсыпались, уже не один год подаём заявки и я, и соседи - не сделали. Почтовые ящики прошу поменять, тоже не один год, ничего. Ремонт в подъездах обещали сделать, не сделали. Ничего не красят, не белят, как в других домах, в подвале даже страшно представить, раз уже воды горячей нет, что творится. Уборщица к нам один раз в полгода приходит, она тоже одна. Единственное дворник, кот. хоть что-то делает и все. Так же жалуются и остальные четыре дома, кот. у них на балансе. Жалобы пишут везде, привлекали телевидение. Но все осталось, как и было. Прошу вас помочь в решении этой проблемы. И разобраться, имеет ли право на лицензию при одном сантехник, одной уборщица и бездействии и не желании работать, даже из-под палки данная УК. Мы конечно пытались уйти в другую, но не набирали определённое кол-во процентов, потому что многие в доме не живут. Да и нас хорошие компании брать не хотят, у нас много долгов и дом полуаварийный, хотя ему только 11 лет. Плюс агитация начинается с нашей УК, что все мошенники, а они хорошие.</p>",Некачественное водоснабжение многоквартирного дома,Государственная жилищная инспекция Курской области,3
2560,"12.07.21 мною была сделана первая прививка, 15.07.21 позвонила в поликлинику сказала где взять справку, так как данные на гос. услугах не появились. Пришла получить её в 315 каб. Записали мою фамилию, обещали вбить. Сегодня уже 28.07.21 данных на гос. услугах нет, сотрудники, которые на неделю позже меня там же прививались уже имеют данные на гос. услугах. Прошу разобраться с проблемой.",Дневник самонаблюдения,Комитет здравоохранения Курской области,4
2735,"Складирование строительных материалов, на братских могилах погибших воинов на воинском мемориале",Неудовлетворительное содержание парков и скверов,Администрация г. Дмитриева,3
1384,<p>Здравствуйте обращаюсь к вам так как больше не к кому никто нас не слышит у нас курская область обоянский район посёлок Рудавский нет воды 2 часа утром идёт так же в обед и вечером летом нам говорили нет так как люди поливают огороды сейчас зима а воды как не было так и нет так же и осень было</p>,Некачественное водоснабжение в районе частного сектора,Администрация Обоянского района,3
1082,"<p>Хотелось бы что бы вы благоустроли сквер на сах.заводе возле библиотеки. Не надо строить площадки напротив жд вокзала, надо построить площадку тут, в этот сквере, это место красивое, его надо убрать и все.&nbsp;</p>",Необходимо строительство детской (спортивной) площадки в микрорайоне ИЖС,Администрация города Льгов,3
907,"<p>Курский район, поселок Сахаровка, д. 80.&nbsp;</p><p>Дом на территории воинской части рядом с Клюквинской средней школой Курского района, не в самой Сахаровке, просто адрес такой.</p><p>Две недели в доме нет горячей воды. Прорвало трубу в подвале. Аварийка перекрыла воду. &nbsp;Холодная тоже без напора - до верхних этажей еле доходит. Управляющая компания ООО “УК ЭНЕРГИЯ” ничего не отвечает, телефон не берет. И ничего не делает. Сколько это будет продолжатся? К кому обращаться?</p><p>Ждать ваш ответ месяц? Или есть возможность работать побыстрее? Это все-таки аварийная ситуация.</p>",Некачественное водоснабжение многоквартирного дома,Государственная жилищная инспекция Курской области,3
1858,Не вывозят картон 2 недели,Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Администрация города Курска,3
564,"<p>Добрый день!&nbsp;</p><p>Хотелось в мик-не Льгова 1 увидеть какой нибудь сквер где распологались бы спортивные тренажёры с детской площадкой. В этом году в нашей области объявлен годом благоустройств, так давай не сидеть, а участвовать во всех возможных проектах. Надеемся что скоро появится хоть какая то благоустроенная территория в данном мик-не.&nbsp;</p>",Неудовлетворительное содержание парков и скверов,Администрация города Льгов,3
1277,"<p>Хочу Вас попросить что бы вы, совместно с АТЭЛ пустили по маршруту Курск-Теткино, Луидор-2250DS (ГАЗ Next) ГОС № О 186 МР 46.</p><p>Данная газель оборудована просторной площадкой для людей с ограниченными возможностями, тем самым люди смогут ездить с города в город и на инвалидной коляске. &nbsp;Надеюсь на Ваше понимание и на понимание транспортной компании.</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении внутриобластных междугородных перевозок,Комитет транспорта и автомобильных дорог Курской области,8
761,"<p>Дополнение к <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>Сообщение №:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>100299&nbsp;</strong></span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>Честно прождал месяц с сообщения о выполнении, но всё осталось по-прежнему. Знака как не было, так и нет, машины как ездили по пешеходной зоне, так и ездят. Интересно, сколько времени нужно для установки знака?</strong></span></p>",Дорожные знаки на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
1070,"<p>Очередной долгострой от `Квадры`. В августе разрыли, в сентябре наспех закопали. Центральный вход в парк Дзержинского выглядит омерзительно, &nbsp;а пешеходы переходят ул. Бочарова вне перехода. Когда вернут в первоначальный вид? Ждут заморозков?</p>",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
2358,"Здравствуйте! Прошу покосить траву вдоль улицы Резиновая и прилегающих. Трава почти в человеческий рост, проезжать перекрёстки просто опасно.",Нескошенная сорная растительность в местах общего пользования в микрорайонах ИЖС,Комитет дорожного хозяйства города Курска,3
632,<p>сорная трава</p>,Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Комитет дорожного хозяйства города Курска,3
67,<p>Прошу Вас направить письмо руководству сах.завода что бы они замени флаг РФ.</p>,Неудовлетворительное санитарное состояние и благоустройство памятников,Администрация города Льгов,5
384,"<p>Здравствуйте!&nbsp;</p><p>Мы, жители домов 166,168,170,172 по ул.5-я кислинская просим разобраться в проблеме плохой подачи холодной воды. Начиная с осени 2020г холодная вода течет из кранов маленькой струйкой. Мы неоднократно обращались в водоканал с нашей проблемой. Там нам говорили, что ищут причину, однако с осени воз и ныне там. Это все при том, что сейчас ещё нет полива приусадебных участков. Нормальный напор воды есть только ночью.&nbsp;</p><p>Не может ли быть связана наша проблема с открытием автомойки рядом с нами? Очень надеемся, что ситуация в ближайшее время изменится. Спасибо!&nbsp;</p>",Некачественное водоснабжение в районе частного сектора,Администрация города Курска,3
2865,"Здравствуйте! 21.09 жильцы дома 97/2 по ул.Ленина г.Железногорск Курская область, обращались в УК «жилсервис ЗЖБИ 3» по поводу составления актов по ущербу, нанесённому дождем! По телефону столкнулись с хамством и полнейшей некомпетентностью диспетчера Новикова. На все вопросы он отвечал что не знает ничего, и вешал трубку не выслушав о проблеме до конца! В УК должны сохраниться записи разговоров, если они от них не избавились!",Неэтичное поведение руководства и работников управляющей компании,Государственная жилищная инспекция Курской области,3
2039,"Добрый вечер! Месяц назад на Крюковском повороте были проведены работы по починке водопровода. Ямы после проделанных работ засыпаны не были, хотя было достаточное количество техники. Как итог: ямы, от которых начало трескаться дорожное покрытие, так как дорога находится на возвышенности, и большое количество грязи. Прошу разобраться с таким вопиющим пренебрежением к работе!",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
1385,"<p>Добрый день. Уже 10 января 2022г., по улицам Прилужная и Заречная не чистят улицы от снега.</p><p>Администрация сельского совета не принимает ни каких &nbsp;действий, им этот вопрос не важен. Просьба обратить на это внимание и на регулярной основе, а не по жалобам чистить улицы от снега.&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Курского района,0
1529,<p>Сломана крышка люка рядом с отделом полиции</p>,Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
2486,"Нет горячей воды больше 14, ПАО квадра нарушает закон! Согласно пункту 3.1.11. СанПиН 2.1.4.2496-09 в период ежегодных профилактических ремонтов отключение систем горячего водоснабжения не должно превышать 14 суток. Прошу компенсировать каждый день без воды неустойкой в размере 1000р за день каждому владельцу квартиры.",Некачественное водоснабжение многоквартирного дома,Государственная жилищная инспекция Курской области,3
2730,"На развилке дороги Володарского - А.Аристарховой, возле дома 27 по ул Володарского, находится муниципальный земельный участок. Он полностью зарос травой, кустами и даже леревьями высотрй до 5-7 метров!!! Полностью отсутствует просмотр дороги для водителей, что составляет угрозу для пешеходов, которые пытвютмя перейти дорогу, в том числе и дети, которые по этой дороге скоро пойдут в шуолы!!! Деревья создают угрозу порыва линий электропередачи, т.к. провода полностью переплелись с ветками. При сильном ветре уже несколько раз пришлось вызывать аварийную службу,  в связи с порывом проводов и отсутствием электричества. Наведите, пожалуйста, порядок! Уберите деревья и покосите кусты и траву!!!",Неудовлетворительное содержание клумб и газонов,Комитет дорожного хозяйства города Курска,3
2050,"Дорожного покрытия нет вообще, ездить и ходить не возможно",Отсутствие твёрдого дорожного покрытия на дорогах в границах городских округов и сельских поселений,Администрация города Льгов,0
98,<p>Прошу Вас сделать безопасную трамвайную остановку “Центральный рынок” &nbsp;данная остановка не соответсует требования которые написанны минестерства транспорта. Если вы не обеспечит в ближайшее время безопасную остановку то мы будем писать в другие органы. &nbsp;На данной остановке должен стоять забор и быть павильон а также пандус для маломобильных граждан.&nbsp;</p>,Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Курска,8
1923,"Наледь. Не очистят дорогу в деревне 1-ая Моква, ул. Школьная",Отсутствие твёрдого дорожного покрытия на дорогах в границах городских округов и сельских поселений,Администрация Курского района,0
2659,Детская площадка в ужасном состоянии,Неудовлетворительное содержание детской (спортивной) площадки на территории многоквартирных домов,Комитет жилищно-коммунального хозяйства города Курска,3
853,"<p>Здравствуйте.Хочется уточнить,а что у нас в городе за новая система покоса травы.В сквере на Веспремской трава на протяжении лета несколько раз косилась, а на против дома №9 рядом с гаражами ни разу.</p>",Нескошенная сорная растительность в местах общего пользования в районах частного сектра,Комитет городского хозяйства города Курска,3
301,"<p>Вот в таком неудовлетворительном санитарном состоянии находится территория и тротурар рядом с ТЦ Еропа,почтой и Гелиусом.</p>",Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3
932,<p>Мусор от мусорной контейнеоной площадки летит на ближайшие дома. Территория возле площадки не убирается. Почему дом должен убирать территорию не принадлежащую ему? Требуем организовать ежедневную уборку. Мусор от мусорной контейнеоной площадки летит на ближайшие дома. Территория возле площадки не убирается. Почему дом должен убирать территорию не принадлежащую ему? Требуем организовать ежедневную уборку.&nbsp;</p>,Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Комитет городского хозяйства города Курска,3
2066,Прошу принять меры. Постоянно припаркованные на тротуаре авто мешают проходу пешеходов,Парковки на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
2366,"Отдельное сообщение ввиду отсутствия технической возможности добавить фотографии в сообщении о проблеме √ 95070, находящейся на рассмотрении (доработка от 22.06.21).
В ответе указана, что сорная растительность убрана. Вечером шла по данной улице. Предоставленная информация оказалась неверной. Частично трава покошена, но в том месте, фотографии которого были приложены мною, с начала весны покоса и уборки (обрезки, спила итд) высокой травы, кустарников не было.
Очень длительный период ожидания ответа (30 дней), далее отправка на доработку (ещё 30 дней), так и лето пройдет, можно и не косить?
Трава в некоторых местах выше роста человека.
Прошу убрать! Заранее благодарю от жителей.",Нескошенная сорная растительность в местах общего пользования в микрорайонах ИЖС,Комитет дорожного хозяйства города Курска,3
1477,"<p>Вследствие отсутствия уборки снега и наледи на Южном переулке, г. Курска, являющимся дорогой общего пользования (Постановление Администрации города Курска Курской области №813 от 13 марта 2013г.), создана угроза жизни и здоровья граждан, как передвигающихся по вышеуказанной дороге, так и проживающих на Южном переулке. Проезд спец транспорта (скорой помощи, пожарных автомобилей, транспорта аварийных служб) невозможен. В связи с вышеизложенным прошу Вас провести необходимые организационные действия для решения указанного вопроса, а именно очистке Южного переулка от снежной массы и наледи.&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация Центрального округа города Курска,0
468,<p>Необходимо восстановить покрытие.</p>,Парковки на дорогах в границах городских округов и сельских поселений,Государственная жилищная инспекция Курской области,0
2723,"Забита ливнёвка, перед Конти",Ливневая канализация,Комитет дорожного хозяйства города Курска,3
1238,"<p>Здравствуйт! Сегодня столкнулся с большой бродячей собакой без чипа на ухе возле магазина Пятрочка по адресу Дериглазова 15. Собака вплотную подошла к выходу из магазина и откровенно пугала покупателей, которые выходили из магазина. Очень не хочется пойти за продуктами, а оказаться в БСМП у рабиолога с укусом бродячего животного. По Указанныи телефонам (55-47-60 и 74-02-46) трубку никто не брал. Просьба разобраться с огромным количеством животных без надзора в разных районах города Курска.</p><p><br><br data-cke-filler=`true`></p><p>фото для примера&nbsp;</p>",Безнадзорные животные,Комитет городского хозяйства города Курска,1
122,"<p>Прошу Вас пустить пригородный поезд Льгов-Белгород-Льгов. Вы понимаете что люди страдаю, пустите хотя бы один раз в неделю-по воскресеньем, составностью-1 вагон. &nbsp;Вы сможете это поезд профинансировать если он будет ездить 1 раз в неделю, в качестве перевозчика хотелось бы видеть ппк черноземье, я пользовался услугами данной компании и хочу сказать что обслуживание на высоте, пускай билет будет дороже, сделайте для данного поезда тарифный план другой, но поезд надо пускать. Также поезд должен быть 700-й номерации и не должен останавливается на каждой остановке а останавливается только на крупных оп и станциях. Надеемся что вы услышите нас, а если не услышите то также наши деревни будут “умирать”. &nbsp;Молодцы, вы не можете сохранить железнодорожное сообщение даже один раз в неделю.</p>",Необходимо назначение дополнительных поездов,Комитет транспорта и автомобильных дорог Курской области,8
